duration_label,target_seconds,actual_seconds,latent_frames,decoded_frames,prompt_index,prompt,source_trajectory,trajectory,closure_pair_latent,closure_pair_decoded,closure_translation_error,closure_rotation_error_deg,max_translation_from_start,max_rotation_from_start_deg
10s,10,9.8125,40,157,10,"A dramatic digital painting in the style of an epic fantasy, depicting humans walking into a dragon's open jaws as they descend into the underworld. The dragon has a massive, scaled body with a deep emerald green hue, and its teeth are sharp and menacing. The humans are small figures, one male and one female, dressed in ancient robes, their expressions filled with fear and determination. They hold torches, casting flickering shadows on the dragon's inner walls. The background features a dark, cavernous underworld with glowing red eyes of fireflies and jagged rocks. The scene is rendered in a high-detailed, cinematic style with a sense of depth and movement. The camera angle is from below, looking up at the dragon's open jaws, capturing the dramatic descent into the underworld.","j*12,s*7","j*12,s*7,w*7,l*12,j*1",0:38,0:152,3.103167691559091e-17,0.0,0.5600000013992212,35.9999994773555
10s,10,9.8125,40,157,11,"A dynamic over-the-shoulder perspective of a chef meticulously plating a dish in a bustling kitchen. The chef, a middle-aged man with a neatly trimmed beard and focused expression, deftly arranges ingredients on a pristine white plate. His hands move with precision, each gesture deliberate and practiced. The background shows a crowded kitchen with steaming pots, whirring blenders, and the clatter of utensils. Bright lights highlight the scene, casting shadows across the busy workspace. The camera angle captures the chef's detailed work from behind, emphasizing his skill and dedication.","d*7,s*5,l*7","d*7,s*5,l*7,j*7,w*5,a*7,d*1",0:38,0:152,3.9895349843289647e-16,0.0,0.6881860595719943,20.999996699761738
10s,10,9.8125,40,157,12,"A dynamic racing scene captured in the style of a high-speed sports photography, featuring a sleek black racehorse accelerating on the final stretch towards the finish line. The horse's mane flows behind it as it gallops with powerful strides, its muscles taut and gleaming under the bright sunlight. The jockey, wearing a traditional silks uniform, leans forward with focused determination, gripping the reins tightly. The background is a blur of green grass and white fencing, with the finish line clearly visible in the distance. The photo has a sharp, high-resolution quality, emphasizing the horse's movement and the intense energy of the moment. A high-angle shot capturing both the horse and the jockey in action.",l*19,"l*19,j*19,l*1",0:38,0:152,0.0,0.0,0.0,56.99999854782386
10s,10,9.8125,40,157,13,"A macro slow-motion cinematography scene depicting a sculptor's skilled hands shaping wet clay on a pottery wheel. As the wheel spins, the camera captures the tactile quality of the clay and the fluid, precise movements of the sculptor's hands. The clay glistens under the soft lighting, highlighting the sculptor's focus and dedication. The background is blurred, emphasizing the dynamic interaction between the sculptor and the clay. A close-up shot from a slightly elevated angle, capturing every detail of the process.",j*19,"j*19,l*19,j*1",0:38,0:152,0.0,0.0,0.0,56.99999854782386
10s,10,9.8125,40,157,14,"A dramatic landscape photograph capturing a steep cliffside with a stone pedestal jutting out, leading down to reveal the powerful waves crashing against jagged rocks far below. The cliffs are rugged and weathered, with green moss covering parts of the rock faces. The water is turbulent, with white foam rising from the impact of the waves against the rocks. The sky above is a mix of deep blues and grays, creating a moody and atmospheric scene. The photo has a natural and realistic texture, emphasizing the dynamic movement of the waves and the dramatic drop-off. A wide-angle shot from a low angle, looking up towards the cliff.","k*8,a*11","k*8,a*11,d*11,i*8,k*1",0:38,0:152,2.7755575615628914e-17,0.0,0.8799999952316284,23.999997266973487
10s,10,9.8125,40,157,15,"A dramatic photograph in a classic film noir style, capturing a beam of light filtering through the intricate stained glass window of a grand cathedral. The golden rays create a mesmerizing mosaic of colorful patterns on the ancient stone floor, casting a warm and mystical glow. The background features the cathedral's arches and pillars, with hints of the interior's richly detailed stonework and ornate decorations. The camera angle is slightly elevated, highlighting the interplay of light and shadow, emphasizing the solemn and awe-inspiring atmosphere of the scene. A medium shot with dynamic lighting and natural movement.","l*8,w*11","l*8,w*11,s*11,j*8,l*1",0:38,0:152,9.309503074677274e-17,0.0,0.8800000180312558,23.999997266973487
10s,10,9.8125,40,157,16,"A dynamic scene captured in the style of a vibrant food photography shoot, showcasing a chef expertly tossing a salad in a large ceramic bowl. The chef, with a lively expression and focused intensity, moves with grace and precision, the salad spinning gracefully in the air before landing back in the bowl with a satisfying clatter. The chef is dressed in a crisp white chef's coat and black pants, with a white hat perched on his head. The background is a clean, modern kitchen with stainless steel appliances and a backdrop of warm, soft lighting that highlights the freshness of the ingredients. A mid-shot from a slightly elevated angle, capturing both the chef's action and the vibrant salad.","a*8,d*11","a*8,d*11,a*11,d*8,a*1",0:38,0:152,2.7755575615628914e-17,0.0,0.6399999856948853,0.0
10s,10,9.8125,40,157,17,"A stunning Santorini landscape photo captured during the blue hour, featuring a red panda and a toucan strolling hand-in-hand through the picturesque village. The red panda, with its distinctive reddish-brown fur and large round eyes, carries a small backpack, while the toucan, with its vibrant orange and black feathers and a large curved beak, holds a colorful flower. They walk along a winding cobblestone path, passing by whitewashed buildings with blue doors and windows. The setting sun casts a soft golden glow, creating a warm and serene atmosphere. The sky is painted with shades of blue and purple, with a few twinkling stars beginning to appear. A wide-angle shot from a slightly elevated angle, capturing the intimate moment between these two unlikely friends.","w*6,s*8,l*5","w*6,s*8,l*5,j*5,w*8,s*6,w*1",0:38,0:152,8.33337415055036e-17,0.0,0.47999998927116394,14.999997236551232
10s,10,9.8125,40,157,18,"A panoramic rightward sweep over a serene ocean at sunset, capturing the mesmerizing transition as the sun dips below the horizon, casting a warm golden glow across the tranquil sea. The camera moves gracefully, revealing the shifting hues of orange, pink, and purple in the sky. The water reflects the vibrant colors, creating gentle ripples and waves. In the distance, a few sailboats dot the horizon, adding a touch of tranquility. The scene has a soft, cinematic quality, emphasizing the peacefulness of the moment. A wide-angle shot from a slightly elevated perspective.",s*19,"s*19,w*19,s*1",0:38,0:152,2.7755575615628914e-17,0.0,1.5199999809265137,0.0
10s,10,9.8125,40,157,19,"A serene landscape photograph capturing a single leaf gently falling onto the surface of a calm pond, creating gentle ripples that spread outward. The leaf is a vibrant green, with delicate veins and a soft texture, floating gracefully before it touches the water. The pond is still, reflecting the surrounding trees and the clear blue sky above. The ripples form concentric circles, each one diminishing in size as they move away from the point of impact. The scene is bathed in natural sunlight, casting dappled shadows across the water. A wide-angle shot from a low angle, emphasizing the tranquility and beauty of the moment.",j*19,"j*19,l*19,j*1",0:38,0:152,0.0,0.0,0.0,56.99999854782386
10s,10,9.8125,40,157,20,"A handheld perspective of a hiker ascending a rocky trail, with the camera shaking slightly to capture the rugged terrain. The hiker, wearing sturdy hiking boots and a backpack, moves with determined steps, arms swinging naturally. The trail is steep and uneven, with loose rocks and patches of moss. The background features dense forests and distant mountains, with patches of sunlight breaking through the canopy. The air is crisp, and the hiker's breath can be seen in the cool morning mist. The overall scene has a gritty, realistic texture, emphasizing the challenging nature of the hike. A medium shot with a handheld camera angle, capturing the hiker's focused determination.","s*10,i*9","s*10,i*9,k*9,w*10,s*1",0:38,0:152,3.629145211953986e-16,0.0,0.8000000484099218,26.999999309935195
10s,10,9.8125,40,157,21,"A lively scene in the style of a children's animated cartoon, depicting two llamas kicking a soccer ball. One llama, with fluffy brown fur and large, curious eyes, kicks the ball with its hind leg while the other, with sleek gray fur and a mischievous look, chases after it. Both llamas have playful expressions, and their movements are energetic and joyful. The background is a vibrant green grassland with colorful wildflowers and a clear blue sky. The camera angle captures a dynamic mid-shot, showing the llamas in motion from slightly above.","s*12,l*7","s*12,l*7,j*7,w*12,s*1",0:38,0:152,3.347344869592227e-16,0.0,0.9600000145468095,20.999996699761738
10s,10,9.8125,40,157,22,"A mystical Chinese ink painting depicting a crescent blue moon slowly rising over a serene mountain landscape. The moon appears ethereal and glowing, casting a soft, bluish light on the tranquil scene. Mountains in the distance are outlined in ink, with a few pine trees standing tall against the night sky. The foreground features a small stream with ripples reflecting the moonlight. A few bamboo shoots are scattered around, adding to the serene atmosphere. The sky transitions from deep indigo to lighter shades of blue as dawn approaches. A bird can be seen flying towards the moon, adding a sense of movement and life to the composition. A medium shot with a slightly upward angle.","a*10,w*9","a*10,w*9,s*9,d*10,a*1",0:38,0:152,3.925231146709438e-17,0.0,1.0762899517658882,0.0
10s,10,9.8125,40,157,23,"A vibrant and lively festival scene in Mumbai, India, where a toy robot wearing purple overalls and cowboy boots takes a pleasant stroll. The robot has a friendly expression and moves with a gentle, deliberate gait. It is surrounded by a bustling crowd, colorful decorations, and traditional Indian attire. The background features vibrant street art, colorful lanterns, and people dancing and celebrating. The festival atmosphere is filled with joyful music and lively chatter. The photo has a warm and lively color palette, capturing the essence of the festive spirit. A dynamic medium shot from a slightly elevated angle, showcasing the robot's interaction with the environment.","l*7,j*6,l*6","l*7,j*6,l*6,j*6,l*6,j*7,l*1",0:38,0:152,0.0,0.0,0.0,20.999996699761738
10s,10,9.8125,40,157,24,"A vibrant and lively underwater scene featuring an octopus playing multiple musical instruments simultaneously in a colorful band. The octopus has a playful and joyful expression, its tentacles deftly manipulating a trumpet, a drum, and a guitar. Its body is adorned with iridescent patterns, and it appears to be having fun. The background showcases a diverse array of marine life, including colorful fish and coral reefs, with a gentle underwater current flowing. The scene is captured in a dynamic angle, emphasizing the octopus's movements and the instruments it plays. The water has a soft, shimmering quality, enhancing the underwater atmosphere. A mid-shot with a dynamic camera angle.",w*19,"w*19,s*19,w*1",0:38,0:152,2.7755575615628914e-17,0.0,1.5199999809265137,0.0
10s,10,9.8125,40,157,25,"An adorable kangaroo wearing blue jeans and a white t-shirt takes a pleasant stroll in Antarctica during a beautiful sunset. The kangaroo has soft, fluffy fur and big, curious eyes, hopping gracefully across the icy landscape. It pauses occasionally, sniffing the air and looking around with a mischievous expression. The background features a stunning sunset, with vibrant orange and pink hues reflecting off the snow. The sky is dotted with wispy clouds, and the horizon is bathed in warm, golden light. The photo has a serene and almost magical quality, capturing the unique and surreal beauty of the Antarctic setting. A medium shot from a slightly elevated angle, highlighting the kangaroo’s natural movements and the breathtaking scenery.",s*19,"s*19,w*19,s*1",0:38,0:152,2.7755575615628914e-17,0.0,1.5199999809265137,0.0
10s,10,9.8125,40,157,26,"A nighttime cityscape photo in a moody, cinematic style, capturing the reflections of streetlights and neon signs on the wet pavement after a rainstorm. The scene glows with a shimmering, almost dreamlike quality, highlighting the intricate patterns formed by the water droplets. The buildings in the background are illuminated by the soft, diffused light, with windows reflecting the glow of interior lights. The sky above is a mix of deep blues and purples, with a few stars peeking through. A wide-angle shot from a low angle, emphasizing the reflective surface and the bustling city life below.","l*12,a*7","l*12,a*7,d*7,j*12,l*1",0:38,0:152,6.206335383118182e-17,0.0,0.5600000013992213,35.9999994773555
10s,10,9.8125,40,157,27,"A serene landscape painting depicting a calm lake at sunset, perfectly reflecting the warm orange and pink hues of the sky. Gentle ripples on the water's surface create subtle distortions in the mirrored image, adding a sense of tranquility and movement. The background features a soft gradient of colors, transitioning from deep blues to purples, with hints of stars beginning to appear. The camera angle is slightly elevated, capturing the entire expanse of the lake and the surrounding hills, which are bathed in the golden light of the setting sun. The overall scene has a tranquil and dreamlike quality, reminiscent of traditional Chinese landscape paintings.","k*10,a*9","k*10,a*9,d*9,i*10,k*1",0:38,0:152,2.7755575615628914e-17,0.0,0.7200000286102295,29.99999910941591
10s,10,9.8125,40,157,28,"A whimsical illustration in a soft watercolor style of a curious cat peeking out from a cozy, woven basket hidden behind a pile of fluffy cushions. The cat has large, expressive green eyes and a fluffy white fur coat with a black tipped tail. It is perched on one paw, ears pricked up, and its whiskers twitch as it gazes intently at something just beyond the viewer's line of sight. The background features a warm, inviting living room with hints of sunlight filtering through a window, casting a gentle glow on the scene. The basket is intricately detailed with patterns and textures. A close-up shot from a slightly lower angle, capturing the cat's entire body and the subtle play of light on its fur.","j*10,s*9","j*10,s*9,w*9,l*10,j*1",0:38,0:152,4.163336342344337e-17,0.0,0.7200000383022751,29.99999910941591
10s,10,9.8125,40,157,29,"A zoom-in shot focusing on the face of a young woman sitting on a bench in the middle of an empty school gym. The woman has long wavy brown hair cascading down her shoulders and soft, warm hazel eyes. She wears a simple white t-shirt and blue jeans, her hands resting gently on her knees. Her expression is serene, with a slight smile playing on her lips. The gymnasium is mostly empty, with only a few scattered bleachers and a basketball hoop in the background. The lighting is soft and natural, creating gentle shadows under her eyes and nose. The overall atmosphere is peaceful and contemplative.","a*5,k*5,a*9","a*5,k*5,a*9,d*9,i*5,d*5,a*1",0:38,0:152,2.7755575615628914e-17,0.0,1.1200000047683716,14.999997236551232
15s,15,14.8125,60,237,0,"A Chinese boy wearing glasses sits in a fast food restaurant, enjoying a delicious cheeseburger with his eyes closed. His hair is neatly combed, and he has a slightly dreamy expression. He holds the cheeseburger with both hands, taking a big bite. The background shows other diners and a colorful menu board with various fast food items. The lighting is warm and inviting, creating a cozy atmosphere. A close-up shot from a slightly lower angle, capturing the boy's joyful moment.",k*19,"k*29,i*29,k*1",0:58,0:232,0.0,0.0,0.0,86.9999999133187
15s,15,14.8125,60,237,1,"A close-up shot of a pair of chopsticks delicately picking up a piece of sushi and dipping it into a small dish of soy sauce. The chopsticks are held by a person with skilled fingers, their hands steady and precise. The sushi is fresh and colorful, with a slice of fish and rice perfectly balanced. The soy sauce dish is ceramic, with a glossy finish and a slight reflection of the chopsticks. The background is a traditional Japanese dining room, with a low table and ornate decorations. The lighting is soft and warm, highlighting the textures and colors. A medium close-up with a slight tilt, capturing the moment of the chopsticks touching the soy sauce.",i*19,"i*29,k*29,i*1",0:58,0:232,0.0,0.0,0.0,86.9999999133187
15s,15,14.8125,60,237,2,"A bustling train station in the heart of a vibrant city, captured in the style of a vibrant urban street scene. The station is packed with people in various outfits, rushing to catch their trains or waiting anxiously. A young man in a casual shirt and jeans stands near a large digital clock, checking his phone. His expression is a mix of impatience and curiosity. The background features a mix of modern architectural elements, including sleek glass buildings and colorful advertisements. The lighting is warm and inviting, with natural sunlight streaming through large windows. A dynamic medium shot with a slightly elevated angle, capturing the energy and movement of the crowd.","i*12,j*7","i*18,j*11,l*11,k*18,i*1",0:58,0:232,0.0,0.0,0.0,62.63179788662153
15s,15,14.8125,60,237,3,"A cinematic camera tilt-up shot of a curious cat exploring a large, open cardboard box. The cat, with its ears perked and tail twitching, sniffs the edges of the box, eyes wide with interest. The box is partially open, revealing some toys inside. The background is a cozy living room with soft lighting and scattered books and magazines. The photo has a warm, naturalistic quality, emphasizing the cat's playful curiosity. A medium shot capturing the cat's interaction with the box.","a*10,s*9","a*15,s*14,w*14,d*15,a*1",0:58,0:232,3.925231146709438e-17,0.0,1.6414628004076341,0.0
15s,15,14.8125,60,237,4,"A cinematic trailer in the style of a heartwarming coming-of-age film, showcasing a group of playful Samoyed puppies learning to become chefs. The puppies, with their fluffy white coats and bright eyes, gather around a colorful kitchen filled with pots, pans, and ingredients. They wag their tails excitedly as they attempt to mix batter and fold dough under the watchful eye of a wise, elderly dog. The puppies’ expressions range from determined to mischievous, with one puppy accidentally knocking over a stack of plates. The background transitions between warm, inviting kitchen scenes and glimpses of the puppies’ playful antics outside. The camera angles vary from wide shots of the puppies working together to close-ups capturing their joyful faces. A soft, uplifting score plays in the background, enhancing the sense of adventure and growth.","a*10,l*9","a*15,l*14,j*14,d*15,a*1",0:58,0:232,1.8636417110287674e-15,0.0,1.2000000604931862,42.000001309391514
15s,15,14.8125,60,237,5,"A dramatic close-up shot of a man's face, where his lips are contorted in disgust as he tastes something bitter. His eyes narrow, and his brow furrows, revealing intense displeasure. He is wearing a casual shirt and jeans, with a hint of stubble on his chin. The background is a blurred kitchen setting, with a counter and a few scattered dishes in the distance. The lighting is stark, highlighting his expression. The photo has a realistic, gritty style, emphasizing the man's reaction to the bitter taste.","i*7,k*4,j*8","i*11,k*6,j*12,l*12,i*6,k*11,i*1",0:58,0:232,0.0,0.0,0.0,38.90424443428116
15s,15,14.8125,60,237,6,"A dynamic and casual scene in the style of a modern food photography shoot, capturing a young man dipping a crispy French fry into a small dish of ketchup. He has a relaxed and content expression, with a slight smile on his face. His shirt is casual, perhaps a simple T-shirt, and he is casually sitting on a wooden stool. The background features a blurred setting with hints of a cozy kitchen, complete with a few utensils and appliances visible in the periphery. The lighting is warm and inviting, highlighting the golden-brown French fry and the vibrant red ketchup. A close-up shot from a slightly lower angle, emphasizing the action and the flavors.",a*19,"a*29,d*29,a*1",0:58,0:232,2.498001805406602e-16,0.0,2.319999933242798,0.0
15s,15,14.8125,60,237,7,"A dynamic night-time scene in a dark forest, captured in a high-speed aerial shot. Neon-lit flora glows brightly, casting an otherworldly glow through the dense canopy. The camera zooms through the forest, capturing the intricate details of glowing flowers and bioluminescent leaves. The forest floor is shrouded in shadows, with only patches of neon light illuminating the path ahead. The air is filled with the soft rustling of leaves and the distant hum of nocturnal insects. A vivid, surreal landscape with a focus on movement and vibrant colors.",w*19,"w*29,s*29,w*1",0:58,0:232,2.498001805406602e-16,0.0,2.319999933242798,0.0
15s,15,14.8125,60,237,8,"A close-up shot of a painter's brush gently touching the canvas, spreading and blending vibrant colors in a swirling motion. The brush strokes are dynamic and fluid, creating a mesmerizing pattern of blues, greens, and purples. The canvas is set against a backdrop of muted tones, with hints of a wooden easel and a few scattered brushes nearby. The lighting highlights the textures and colors, giving the scene a lively and energetic feel. The photo captures the moment of creation with a sense of movement and artistry.","d*10,i*9","d*15,i*14,k*14,a*15,d*1",0:58,0:232,2.7755575615628914e-17,0.0,1.2000000476837158,42.000001309391514
15s,15,14.8125,60,237,9,"A dramatic close-up shot from a downward angle, starting from the lush green branches of a towering ancient tree and gradually revealing the massive, gnarled roots below. The branches are adorned with vibrant leaves, while the roots stretch out in intricate patterns, covered in moss and fungi. The background shows a dense forest floor with patches of sunlight filtering through the canopy, creating a sense of depth and mystery. The photo has a naturalistic and realistic style, emphasizing the organic textures and details of the tree and its surroundings.","i*12,s*7","i*18,s*11,w*11,k*18,i*1",0:58,0:232,4.163336342344337e-17,0.0,0.8799999936838272,54.000000734567884
15s,15,14.8125,60,237,10,"A dramatic digital painting in the style of an epic fantasy, depicting humans walking into a dragon's open jaws as they descend into the underworld. The dragon has a massive, scaled body with a deep emerald green hue, and its teeth are sharp and menacing. The humans are small figures, one male and one female, dressed in ancient robes, their expressions filled with fear and determination. They hold torches, casting flickering shadows on the dragon's inner walls. The background features a dark, cavernous underworld with glowing red eyes of fireflies and jagged rocks. The scene is rendered in a high-detailed, cinematic style with a sense of depth and movement. The camera angle is from below, looking up at the dragon's open jaws, capturing the dramatic descent into the underworld.","j*12,s*7","j*18,s*11,w*11,l*18,j*1",0:58,0:232,4.163336342344337e-17,0.0,0.8799999936838272,54.000000734567884
15s,15,14.8125,60,237,11,"A dynamic over-the-shoulder perspective of a chef meticulously plating a dish in a bustling kitchen. The chef, a middle-aged man with a neatly trimmed beard and focused expression, deftly arranges ingredients on a pristine white plate. His hands move with precision, each gesture deliberate and practiced. The background shows a crowded kitchen with steaming pots, whirring blenders, and the clatter of utensils. Bright lights highlight the scene, casting shadows across the busy workspace. The camera angle captures the chef's detailed work from behind, emphasizing his skill and dedication.","d*7,s*5,l*7","d*11,s*7,l*11,j*11,w*7,a*11,d*1",0:58,0:232,1.1961242428471284e-15,0.0,1.0430724450691735,33.00000084060909
15s,15,14.8125,60,237,12,"A dynamic racing scene captured in the style of a high-speed sports photography, featuring a sleek black racehorse accelerating on the final stretch towards the finish line. The horse's mane flows behind it as it gallops with powerful strides, its muscles taut and gleaming under the bright sunlight. The jockey, wearing a traditional silks uniform, leans forward with focused determination, gripping the reins tightly. The background is a blur of green grass and white fencing, with the finish line clearly visible in the distance. The photo has a sharp, high-resolution quality, emphasizing the horse's movement and the intense energy of the moment. A high-angle shot capturing both the horse and the jockey in action.",l*19,"l*29,j*29,l*1",0:58,0:232,0.0,0.0,0.0,86.9999999133187
15s,15,14.8125,60,237,13,"A macro slow-motion cinematography scene depicting a sculptor's skilled hands shaping wet clay on a pottery wheel. As the wheel spins, the camera captures the tactile quality of the clay and the fluid, precise movements of the sculptor's hands. The clay glistens under the soft lighting, highlighting the sculptor's focus and dedication. The background is blurred, emphasizing the dynamic interaction between the sculptor and the clay. A close-up shot from a slightly elevated angle, capturing every detail of the process.",j*19,"j*29,l*29,j*1",0:58,0:232,0.0,0.0,0.0,86.9999999133187
15s,15,14.8125,60,237,14,"A dramatic landscape photograph capturing a steep cliffside with a stone pedestal jutting out, leading down to reveal the powerful waves crashing against jagged rocks far below. The cliffs are rugged and weathered, with green moss covering parts of the rock faces. The water is turbulent, with white foam rising from the impact of the waves against the rocks. The sky above is a mix of deep blues and grays, creating a moody and atmospheric scene. The photo has a natural and realistic texture, emphasizing the dynamic movement of the waves and the dramatic drop-off. A wide-angle shot from a low angle, looking up towards the cliff.","k*8,a*11","k*12,a*17,d*17,i*12,k*1",0:58,0:232,2.7755575615628914e-17,0.0,1.3600000143051147,35.9999994773555
15s,15,14.8125,60,237,15,"A dramatic photograph in a classic film noir style, capturing a beam of light filtering through the intricate stained glass window of a grand cathedral. The golden rays create a mesmerizing mosaic of colorful patterns on the ancient stone floor, casting a warm and mystical glow. The background features the cathedral's arches and pillars, with hints of the interior's richly detailed stonework and ornate decorations. The camera angle is slightly elevated, highlighting the interplay of light and shadow, emphasizing the solemn and awe-inspiring atmosphere of the scene. A medium shot with dynamic lighting and natural movement.","l*8,w*11","l*12,w*17,s*17,j*12,l*1",0:58,0:232,3.1031676915590914e-17,0.0,1.3600000119130582,35.9999994773555
15s,15,14.8125,60,237,16,"A dynamic scene captured in the style of a vibrant food photography shoot, showcasing a chef expertly tossing a salad in a large ceramic bowl. The chef, with a lively expression and focused intensity, moves with grace and precision, the salad spinning gracefully in the air before landing back in the bowl with a satisfying clatter. The chef is dressed in a crisp white chef's coat and black pants, with a white hat perched on his head. The background is a clean, modern kitchen with stainless steel appliances and a backdrop of warm, soft lighting that highlights the freshness of the ingredients. A mid-shot from a slightly elevated angle, capturing both the chef's action and the vibrant salad.","a*8,d*11","a*12,d*17,a*17,d*12,a*1",0:58,0:232,2.7755575615628914e-17,0.0,0.9599999785423279,0.0
